approx_images_per_second,batch,elapsed_seconds,epochs,error,fraction,imgsz,oom,peak_allocated_gb,peak_reserved_gb,run_id,status
17.81,4,62.66,2,,0.15,512,False,0.483,0.607,img512_batch4,success
41.0,8,27.22,2,,0.15,512,False,0.864,1.104,img512_batch8,success
47.1,12,23.7,2,,0.15,512,False,1.188,1.586,img512_batch12,success
34.2,16,32.63,2,,0.15,512,False,1.517,2.057,img512_batch16,success
34.26,24,32.58,2,,0.15,512,False,2.17,2.977,img512_batch24,success
37.7,32,29.6,2,,0.15,512,False,2.818,3.08,img512_batch32,success
36.97,48,30.19,2,,0.15,512,False,4.143,4.574,img512_batch48,success
17.64,4,63.27,2,,0.15,640,False,0.719,0.971,img640_batch4,success
25.63,8,43.55,2,,0.15,640,False,1.243,1.695,img640_batch8,success
30.16,12,37.0,2,,0.15,640,False,1.742,2.354,img640_batch12,success
30.52,16,36.57,2,,0.15,640,False,2.279,3.141,img640_batch16,success
33.56,24,33.25,2,,0.15,640,False,3.285,3.637,img640_batch24,success
40.77,32,27.37,2,,0.15,640,False,4.329,4.756,img640_batch32,success
6.88,48,162.13,2,,0.15,640,False,6.371,7.008,img640_batch48,success
20.65,4,54.04,2,,0.15,768,False,0.973,1.314,img768_batch4,success
24.54,8,45.48,2,,0.15,768,False,1.718,2.293,img768_batch8,success
26.95,12,41.4,2,,0.15,768,False,2.455,3.295,img768_batch12,success
26.52,16,42.09,2,,0.15,768,False,3.191,3.475,img768_batch16,success
26.69,24,41.81,2,,0.15,768,False,4.67,5.084,img768_batch24,success
5.68,32,196.58,2,,0.15,768,False,6.124,6.689,img768_batch32,success
